iter	Passed	Remaining
0	0	63
1	1	56
2	1	53
3	2	48
4	2	47
5	2	46
6	3	45
7	3	45
8	4	44
9	4	43
10	5	43
11	5	42
12	6	42
13	6	41
14	7	40
15	7	40
16	8	39
17	8	39
18	9	38
19	9	38
20	10	37
21	10	37
22	10	36
23	11	36
24	11	35
25	12	35
26	12	34
27	13	34
28	13	33
29	14	33
30	14	32
31	15	32
32	15	31
33	16	31
34	16	30
35	17	30
36	17	29
37	18	29
38	18	29
39	19	28
40	19	28
41	19	27
42	20	26
43	20	26
44	21	25
45	21	25
46	21	24
47	22	24
48	22	23
49	23	23
50	23	22
51	24	22
52	24	22
53	25	21
54	25	20
55	26	20
56	26	20
57	27	19
58	27	19
59	28	18
60	28	18
61	28	17
62	29	17
63	29	16
64	30	16
65	30	15
66	31	15
67	31	14
68	32	14
69	32	14
70	33	13
71	33	13
72	34	12
73	34	12
74	35	11
75	35	11
76	35	10
77	36	10
78	36	9
79	37	9
80	37	8
81	38	8
82	38	7
83	39	7
84	39	7
85	40	6
86	40	6
87	41	5
88	41	5
89	42	4
90	42	4
91	43	3
92	43	3
93	44	2
94	44	2
95	45	1
96	45	1
97	46	0
98	46	0
99	46	0
